Country,Population
Belgium,11455519
Bulgaria,7000039
Czechia,10649800
Denmark,5806081
Germany,83019213
Estonia,1324820
Ireland,4904240
Greece,10724599
Spain,46937060
France,67012883
France (metropolitan),:
Croatia,4076246
Italy,60359546
Cyprus,875899
Latvia,1919968
Lithuania,2794184
Luxembourg,613894
Hungary,9772756
Malta,493559
Netherlands,17282163
Austria,8858775
Poland,37972812
Portugal,10276617
Romania,19414458
Slovenia,2080908
Slovakia,5450421
Finland,5517919
Sweden,10230185
United Kingdom,66647112
Iceland,356991
Liechtenstein,38378
Norway,5328212
Switzerland,8544527
Montenegro,622182
North Macedonia,2077132
Albania,2862427
Serbia,6963764
Turkey,82003882
Andorra,76177
Belarus,9475174
Bosnia and Herzegovina,3492018
Kosovo (under United Nations Security Council Resolution 1244/99),1795666
Moldova,:
Monaco,38300
Russia,:
San Marino,34590
Ukraine,41983564
Armenia,2965269
Azerbaijan,9981457
Georgia,3723464
